Num|isSpam|Filename|Subject|Message
11|0|5023.2001-10-30.farmer.ham.txt|Subject: 10 % off ! our gift to you !|[ image ] [ image ] [ image ] [ image ] [ image ] [ image ] [ image ] [ image ] [ image ] [ image ] [ image ] [ image ] [ image ] [ image ] [ image ] [ image ] [ image ] sears . com [ image ] gifts for your family from sears [ image ] sears customer appreciation sale take 10 % off everything * , even sale prices ! save an additional 10 % on everything * , even low sale prices ! this is your time to shop , literally ! four days only ? wednesday , october 31 through saturday , november 3 . [ image ] 10 % off everything [ image ] [ image ] sears . com where else ? [ image ] [ image ] [ image ] click to shop now ! [ image ] appliances appliances electronics electronics fitness & recreation fitness & recreation [ image ] computers & office computers & office tools tools lawn & garden lawn & garden [ image ] baby me babyme housewares housewares jewelry & watches jewelry & watches [ image ] [ image ] [ image ] [ image ] [ image ] wishbook [ image ] hurry in to wishbook . com and save 10 % * * thru 11 / 3 ! [ image ] room for kids optical [ image ] now through november 6 take 10 % * * * off any order at searsroomforkids . com - the best place to shop for all things kids ! $ 99 . 99 eyeglasses . any prescription . hundreds of frames available . to take advantage of this special offer from sears optical click here ! [ image ] * offer valid 10 / 31 ? 11 / 3 only . savings off regular , sale and clearance prices apply to merchandise only . not valid on exceptional values , outlet store purchases , catalog orders , shop at home catalog websites , calphalon , bose , maytag , gemini ? , neptune ? and neptune superstack ? , maytag wide by side ? , swiss army , casio wrist camera , introductory offers , special purchases , bf goodrich at / ko tires , automotive services , hearing aids , optical exam fees , licensed businesses , license business websites , ? sears presents ? websites , repair services , parts , installed home improvements and maintenance agreements . don ? t worry , your discount will appear on your order confirmation page . * * save 10 % off any order placed on wishbook . com through 11 / 3 / 01 . telephone orders are not included . discount applies to merchandise only , not shipping and handling or taxes . may not be used with other discounts or offers . * * * valid through november 6 , 2001 . telephone and mail orders are not included . discount applies to merchandise only , not shipping and handling or taxes . enter coupon code seml 03 when you check out to receive this discount . if you would no longer like to receive e - mailed special events information , sales notifications , or other messages from sears . com , please click here and follow the " unsubscribe " instructions . or reply to this email with " unsubscribe " in the subject line . your e - mail address will be removed within 5 business days from our email marketing list . thank you ! [ image ] message - id : [ image ]
12|0|4858.2001-09-04.farmer.ham.txt|Subject: password reset|this is a generated email - do not reply ! if you need further assistance , contact the isc help desk at : 713 - 345 - 4727 the password for your account : po 0507544 has been reset to : 14031399
13|0|2882.2000-11-17.farmer.ham.txt|Subject: same day change - revision # 1 - txu fuel trans k # 501 - november|17 , 2000 ( see attached file : hplnl 117 . xls ) - hplnl 117 . xls
14|0|4017.2001-03-26.farmer.ham.txt|Subject: april nominations at shell deer park|- - - - - - - - - - - - - - - - - - - - - - forwarded by gary w lamphier / hou / ect on 03 / 26 / 2001 09 : 10 am - - - - - - - - - - - - - - - - - - - - - - - - - - - " shankster jl ( luther ) " on 03 / 24 / 2001 10 : 26 : 11 pm to : " lamphier , gary " cc : " carter , john " , " oppio , janet " , " ricks , ruth " subject : april nominations at shell deer park gary , april 2001 nominations for gas delivery to shell deer park are as follows : firm baseload - 60 , 000 mmbtu / d spot swing supply - 0 ( zero ) delivery of the above contract quantities is expected to be as follows : hpl - hp hpl - e hpl - s firm 35 , 000 mmbtu / d 25 , 000 mmbtu / d - 0 - mmbtu / d refinery turnaround activity started in january has been completed . chemical plant turnaround work is scheduled to begin in april and conclude in may . please note the zero nomination for the hpl - s station during the olefin turnaround . please let me know if you have any questions j . luther shankster energy & utilities planning > phone : 713 / 277 - 9307 > fax : 713 / 277 - 9941 > e - mail : jlshankster @ equiva . com >
15|0|0474.2000-02-23.farmer.ham.txt|Subject: re : potential volume list for march , 2000|fyi . . . this well should come on the lst week of march , but does have gas daily mid month pricing for the first month . thanks . susan smith 02 / 22 / 2000 01 : 44 pm to : daren j farmer / hou / ect @ ect cc : melissa graves / hou / ect @ ect , donald p reinhardt / hou / ect @ ect , vance l taylor / hou / ect @ ect , jill t zivley / hou / ect @ ect subject : potential volume list for march , 2000 darren : this is potential new volume for march , 2000 : counterparty meter volume mid month gas daily ? cico oil & gas co . tba 2117 mmbtu per day yes this number is not in vance ' s production estimate . this well is anticipated to come on the first week of march but earlier is possible . please let me know if you need any additional information . susan smith x 33321
16|0|2109.2000-08-31.farmer.ham.txt|Subject: inactivations|cheryl johnson 08 / 31 / 2000 11 : 14 am to : camille gerard / corp / enron @ enron , jeremy wong / hou / ect @ ect , bob bowen / hou / ect @ ect , debbie r brackett / hou / ect @ ect , mary g gosnell / hou / ect @ ect , larry joe hunter / hou / ect @ ect , kori loibl / hou / ect @ ect , tom e moore / hou / ect @ ect , john d powell / hou / ect @ ect , brant reves / hou / ect @ ect , marilyn colbert / hou / ect @ ect , bill d hare / hou / ect @ ect , laurel adams / hou / ect @ ect , peggy alix / hou / ect @ ect , amelia alland / hou / ect @ ect , lauri a allen / hou / ect @ ect , bridgette anderson / corp / enron @ enron , beth apollo / lon / ect @ ect , arfan aziz / lon / ect @ ect , susan bailey / hou / ect @ ect , cyndie balfour - flanagan / corp / enron @ enron , stacey richardson / hou / ect @ ect , edward d baughman / hou / ect @ ect , kimberlee a bennick / hou / ect @ ect , lisa berg carver / hou / ect @ ect , anne bike / corp / enron @ enron , jennifer blay / hou / ect @ ect , fred boas / hou / ect @ ect , bob bowen / hou / ect @ ect , debbie r brackett / hou / ect @ ect , linda s bryan / hou / ect @ ect , lesli campbell / hou / ect @ ect , anthony campos / hou / ect @ ect , sylvia a campos / hou / ect @ ect , nella cappelletto / cal / ect @ ect , cary m carrabine / hou / ect @ ect , clem cernosek / hou / ect @ ect , pat clynes / corp / enron @ enron , marilyn colbert / hou / ect @ ect , brad coleman / hou / ect @ ect , donna consemiu / hou / ect @ ect , robert cotten / hou / ect @ ect , mike croucher / hou / ect @ ect , romeo d ' souza / hou / ect @ ect , shonnie daniel / hou / ect @ ect , frank l davis / hou / ect @ ect , cheryl dawes / cal / ect @ ect , jennifer deboisblanc denny / hou / ect @ ect , rhonda l denton / hou / ect @ ect , russell diamond / hou / ect @ ect , stacy e dickson / hou / ect @ ect , bradley diebner / hou / ect @ ect , michael eiben / hou / ect @ ect , susan elledge / na / enron @ enron , faye ellis / hou / ect @ ect , diane ellstrom / hou / ect @ ect , veronica espinoza / corp / enron @ enron , enron europe global contracts and facilities , enron europe global counterparty , daren j farmer / hou / ect @ ect , jacquelyn farriel / gpgfin / enron @ enron , genia fitzgerald / hou / ect @ ect , irene flynn / hou / ect @ ect , shawna flynn / hou / ect @ ect , susan flynn / hou / ect @ ect , hoong p foon / hou / ect @ ect , rebecca ford / hou / ect @ ect , imelda frayre / hou / ect @ ect , randall l gay / hou / ect @ ect , scotty gilbert / tor / ect @ ect , lisa gillette / hou / ect @ ect , carolyn gilley / hou / ect @ ect , winston goodbody / hou / ect @ ect , amita gosalia / lon / ect @ ect , mary g gosnell / hou / ect @ ect , melissa graves / hou / ect @ ect , andrea r guillen / hou / ect @ ect , david hardy / lon / ect @ ect , bill d hare / hou / ect @ ect , kenneth m harmon / hou / ect @ ect , tony harris / hou / ect @ ect , peggy hedstrom / cal / ect @ ect , elizabeth l hernandez / hou / ect @ ect , brenda f herod / hou / ect @ ect , marlene hilliard / hou / ect @ ect , liz hillman / corp / enron @ enron , nathan l hlavaty / hou / ect @ ect , corey hobbs / corp / enron @ enron , jim homco / hou / ect @ ect , cindy horn / hou / ect @ ect , larry joe hunter / hou / ect @ ect , rahil jafry / hou / ect @ ect , tana jones / hou / ect @ ect , katherine l kelly / hou / ect @ ect , nanette kettler / hou / ect @ ect , cheryl dudley / hou / ect @ ect , bob klein / hou / ect @ ect , troy klussmann / hou / ect @ ect , victor lamadrid / hou / ect @ ect , karen lambert / hou / ect @ ect , gary w lamphier / hou / ect @ ect , kristian j lande / hou / ect @ ect , elsie lew / hou / ect @ ect , andrew h lewis / hou / ect @ ect , jim little / hou / ect @ ect , kori loibl / hou / ect @ ect , melba lozano / hou / ect @ ect , scott f lytle / hou / ect @ ect , hillary mack / corp / enron @ enron , richard c mckeel / hou / ect @ ect , chris mendoza / hou / ect @ ect , nidia mendoza / hou / ect @ ect , carey m metz / hou / ect @ ect , julie meyers / hou / ect @ ect , richard a miley / hou / ect @ ect , bruce mills / corp / enron @ enron , scott mills / hou / ect @ ect , glenda d mitchell / hou / ect @ ect , patrice l mims / hou / ect @ ect , jason moore / hou / ect @ ect , torrey moorer / hou / ect @ ect , jackie morgan / hou / ect @ ect , michael w morris / hou / ect @ ect , matt motsinger / hou / ect @ ect , gary nelson / hou / ect @ ect , dale neuner / hou / ect @ ect , tracy ngo / hou / ect @ ect , debbie nicholls / lon / ect @ ect , john l nowlan / hou / ect @ ect , frank ortiz / epsc / hou / ect @ ect , b scott palmer / hou / ect @ ect , anita k patton / hou / ect @ ect , regina perkins / hou / ect @ ect , debra perlingiere / hou / ect @ ect , richard pinion / hou / ect @ ect , sylvia s pollan / hou / ect @ ect , brent a price / hou / ect @ ect , cyril price / hou / ect @ ect , joan quick / hou / ect @ ect , dutch quigley / hou / ect @ ect , leslie reeves / hou / ect @ ect , donald p reinhardt / hou / ect @ ect , brant reves / hou / ect @ ect , suzy robey / hou / ect @ ect , bernice rodriguez / hou / ect @ ect , carlos j rodriguez / hou / ect @ ect , sam round / hou / ect @ ect , marilyn m schoppe / hou / ect @ ect , samuel schott / hou / ect @ ect , brad schneider / corp / enron @ enron , dianne seib / cal / ect @ ect , cris sherman / hou / ect @ ect , john sherriff / lon / ect @ ect , james shirley / hou / ees @ ees , lynn e shivers / hou / ect @ ect , michele small / lon / ect @ ect , mary m smith / hou / ect @ ect , susan smith / hou / ect @ ect , mary solmonson / hou / ect @ ect , jefferson d sorenson / hou / ect @ ect , carrie southard / hou / ect @ ect , mechelle stevens / hou / ect @ ect , willie stewart / hou / ect @ ect , geoff storey / hou / ect @ ect , colleen sullivan / hou / ect @ ect , john suttle / hou / ect @ ect , connie sutton / hou / ect @ ect , tara sweitzer / hou / ect @ ect , dianne j swiber / hou / ect @ ect , neal symms / hou / ect @ ect , vance l taylor / hou / ect @ ect , edward terry / hou / ect @ ect , kim s theriot / hou / ect @ ect , sheri thomas / hou / ect @ ect , veronica thompson / gpgfin / enron @ enron , mark d thorne / hou / ect @ ect , philippe travis / lon / ect @ ect , susan d trevino / hou / ect @ ect , laura vargas / corp / enron @ enron , claire viejou / lon / ect @ ect , elsa villarreal / hou / ect @ ect , robert walker / hou / ect @ ect , george weissman / hou / ect @ ect , chris wiebe / cal / ect @ ect , sony wilson / hou / ect @ ect , o ' neal d winfree / hou / ect @ ect , christa winfrey / hou / ect @ ect , rita wynne / hou / ect @ ect cc : subject : inactivations reminder : records on the august 2000 name change / merger notification report will be inactivated tomorrow afternoon 9 / 01 .
17|0|0802.2000-03-31.farmer.ham.txt|Subject: re : mitchell gas services 2 / 00|i ' m not sure , but could you ask craig . julie daren j farmer 03 / 31 / 2000 12 : 30 pm to : julie meyers / hou / ect @ ect cc : subject : re : mitchell gas services 2 / 00 is this still outstanding ? craig is back in the office now . d julie meyers 03 / 20 / 2000 02 : 27 pm to : daren j farmer / hou / ect @ ect cc : subject : mitchell gas services 2 / 00 - - - - - - - - - - - - - - - - - - - - - - forwarded by julie meyers / hou / ect on 03 / 20 / 2000 02 : 26 pm - - - - - - - - - - - - - - - - - - - - - - - - - - - enron north america corp . from : megan parker @ enron 03 / 20 / 2000 02 : 08 pm to : julie meyers / hou / ect @ ect cc : william c falbaum / hou / ect @ ect subject : mitchell gas services 2 / 00 we have a price difference with mitchell gas services for 2 / 00 production , deal 156658 . we have hsc - 0 . 05 and mitchell shows hsc - 0 . 04 . can you tell me what the correct price is ? i need this asap . megan
18|0|1007.2000-04-27.farmer.ham.txt|Subject: cpr pipeline exchange activity report|we have placed the cpr pipeline exchange activity report into the sitara production reporting . please let me know if you have any questions . this report gves you the volume activity of a given business unit , on all or selectied pipes , for given flow dates . please rememeber that this report is originating from the sitara database . you all have access to run reports in sitara . you can run reports by clicking the last icon ( blue one ) from the sitara launchpad . you may have to logout of sitara to compeletely to see the icon . * once you are able to access the web site from the icon , click on reports . * login using your sitara login and password . * select the specialized / exceptions category from the drop down menu . * run the cpr pipeline exchange activity report . you will have to select a business unit , flow date and optionally pipe . if you have any problems running this report , let me know at x 37913 . thanks , hunaid
19|0|2264.2000-09-18.farmer.ham.txt|Subject: revision # 1 - enron / hpl actuals for sept . 15 - 17 , 2000|sept 17 , 2000 teco tap 51 . 667 / hpl gas daily ; 25 . 000 / enron ls hpl lsk ic 15 . 000 / enron sept . 18 , 2000 teco tap 31 . 625 / enron sept . 19 , 2000 no flow - - - - - - - - - - - - - - - - - - - - - - forwarded by melissa jones / texas utilities on 09 / 18 / 2000 02 : 21 pm - - - - - - - - - - - - - - - - - - - - - - - - - - - melissa jones 09 / 18 / 2000 02 : 03 pm to : charlie stone / texas utilities @ tu , gary green / texas utilities @ tu , daren . j . farmer @ enron . com , gary . a . hanks @ enron . com , carlos . j . rodriguez @ enron . com , earl . tisdale @ enron . com , ami . chokshi @ enron . com cc : subject : enron / hpl actuals for sept . 15 - 17 , 2000 sept . 17 , 2000 teco tap 61 . 667 / hpl gas daily ; 25 . 000 / enron ls hpl lsk ic 15 . 000 / enron sept . 18 , 2000 teco tap 31 . 625 / enron sept . 19 , 2000 no flow
20|0|3989.2001-03-23.farmer.ham.txt|Subject: calpine daily gas nomination|still under our scheduled maintenance outage , calpine will run the plant baseload testing the a unit using an estimated volume of 88 , 000 mmbtu / day . unit c will go off at midnight saturday . the estimate for sunday and monday will be around 65 , 000 mmbtu / day . please call if you have any questions . thanks . > - calpine daily gas nomination 1 . doc
21|0|4706.2001-06-27.farmer.ham.txt|Subject: fw : a weygandt , andrew ; glover , rusty ; beard , jaime ;|woodson , todd ; ratzman , eric ; eckermann , derrek ; walker , sam subject : fw : a & m and espn for immediate release june 26 , 2001 espn to launch sidelines network ' s second reality - based series to premiere with texas a & m football espn will launch a 13 - episode , prime - time series this fall entitled sidelines , the network ' s second reality - based title under the espn original entertainment ( eoe ) banner . sidelines will document the season of a prominent team as told through the eyes and ears of the less visible , less celebrated people who are involved with the team . the football aggies of texas a & m will be the focus of the series ' premiere episodes to begin october 5 . " coach slocum and i made the decision to be a part of this exciting venture with espn , " texas a & m athletics director wally groff said . " we couldn ' t be more thrilled that espn has chosen texas a & m for this series . the opportunity espn gave us to showcase this wonderful institution and all of its tradition and heritage is something we could not pass up . " in a " docu - drama " style , the various stories that surround the team will be explored through the voices and actions of people whose day - to - day lives are directly affected by living in the town and / or going to the school . players and coaches will also be visible and heard from in a more peripheral fashion , but will not be the primary focus . " this is a good opportunity for texas a & m university and we ' re delighted espn decided to feature the football program and some of the people behind the scenes , " head coach r . c . slocum said . " we look forward to working with them . " the participants will be drawn from a cross section of people who reflect every aspect of the university and college station , texas . they will be students , faculty , media , local storeowners , mothers , fathers and some of the high school seniors who aspire to attend the university . " each person has a role to play with the team , as well as a personal story , " said mark shapiro , vice president and general manager , espn original entertainment . " sidelines will see each person grow in character as the season progresses - - a kind of ' soap - umentary . ' we ' ll weave the smaller personal stories together through the bigger story of the progression and fate of the team and its season . " sidelines : texas a & m storylines - - this is the 125 th anniversary of the school ' s founding ( 1876 ) . - - the community is still very much dealing with the 1999 bonfire collapse which tragically killed 12 students almost two years ago . a 90 - year tradition came to a tumultuous end . dealing with the loss and the emotional toll it took on faculty members , students and families will be an important part of this series . the bonfire will return in 2002 but will take on a different form than has been tradition . - - texas a & m , who lost a wild , snowy independence bowl last year in overtime to mississippi state 43 - 41 , will play notre dame ( at home ) , texas , oklahoma , kansas st and colorado next year . a tough schedule will provide for great drama . - - the school invented the phrase " 12 th man " and actually owns the trademark . one game , the aggies were low on players and had a student suit up and stand ready just in case he was needed . ever since , a student is chosen for every home game to suit up and play on the kickoff team . - - billy pickard is in charge of maintaining the facilities . he ' s been at the university for 36 years and was the student trainer for bear bryant ' s a & m team . he was actually in junction , texas for bryant ' s infamous grueling summer camp . the story of it was a best - selling book , the junction boys . - - at midnight on the friday night before every home game , a " 30 , 000 fans show up each week for this time - honored tradition . eoe , the newest franchise of espn programming , will develop a wide - variety of branded programming outside of the network ' s traditional event and sports news genres . using a collection of vehicles - - game shows , documentaries or reality - based shows - it ' s espn ' s goal to broaden its audience by appealing to younger and casual sports fans . in addition , the company is exploring new ways to connect with consumers by applying these projects across all platforms of the espn family - television , internet , radio - atm -
22|0|0620.2000-03-17.farmer.ham.txt|Subject: nomination into eastrans - 3 / 18 / 2000|we are reducing our nom into eastrans eff 3 / 18 / 2000 to 72 , 000 mmbtu / d . redeliveries are 50 mmcf / d into pg & e , 7 from fcv , 3 into your cartwheel @ carthage , and 12 into mobil beaumont . .
23|0|2088.2000-08-30.farmer.ham.txt|Subject: done : new sitara desk request ( ref cc # 20000813 )|carey , per scott ' s request below the following business unit ( aka : desk id , portfolio ) was added to global production and unify development , test , production and stage . please copy to the other global environments . thanks , dick , x 3 - 1489 updated in global production environment gcc code desc : p ent subenti data _ cd ap data _ desc code _ id - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - a sit deskid imcl a ena - im cleburne 9273 from : scott mills 08 / 30 / 2000 08 : 27 am to : samuel schott / hou / ect @ ect , richard elwood / hou / ect @ ect , debbie r brackett / hou / ect @ ect , judy rose / hou / ect @ ect , vanessa schulte / corp / enron @ enron , david baumbach / hou / ect @ ect , daren j farmer / hou / ect @ ect , dave nommensen / hou / ect @ ect , donna greif / hou / ect @ ect , shawna johnson / corp / enron @ enron , russ severson / hou / ect @ ect cc : subject : new sitara desk request this needs to be available in production by early afternoon . sorry for the short notice . srm ( x 33548 )
